customer_name,customer_address,customer_phone,courier,status
louise,12 kol,123654,7,Preparing
customer_name,customer_address,customer_phone,courier,status
hylary,15 brook green,1235468520,6,Preparing
customer_name,customer_address,customer_phone,courier,status
hylary,15 brook green,1235468520,6,Preparing
customer_name,customer_address,customer_phone,courier,status
juli,45 joiyl st,123651203220,4,Preparing
customer_name,customer_address,customer_phone,courier,status
juli,45 joiyl st,123651203220,4,Preparing
customer_name,customer_address,customer_phone,courier,status
loic,45 kofrwes rd,1236547895,4,Preparing
customer_name,customer_address,customer_phone,courier,status
loic,45 kofrwes rd,1236547895,4,Preparing
customer_name,customer_address,customer_phone,courier,status
huil,45 koil st,1236520321,4,Preparing
